current_ap,current_hp,intact,key_resp_9.keys,key_resp_9.corr,nam_unn,participant,rs_rt_n
Nam2/inanimate06a_ap.jpg,inanimate06a_hp.jpg,right,right,1,nam,791,ApRS
Nam2/inanimate06c_ap.jpg,inanimate06c_hp.jpg,right,right,1,nam,791,ApRT
Unn2/abstract04b_ap.jpg,abstract04b_hp.jpg,right,right,1,unn,791,ApRT
Unn2/abstract06c_ap.jpg,abstract06b_hp.jpg,left,left,1,unn,791,ApRT
Unn2/abstract04c_ap.jpg,abstract04c_hp.jpg,right,right,1,unn,791,ApRT
Unn2/abstract06_ap.jpg,abstract06_hp.jpg,right,right,1,unn,791,ApRS
Unn2/abstract04_ap.jpg,abstract04a_hp.jpg,left,left,1,unn,791,ApRS
Unn2/abstract06b_ap.jpg,abstract06c_hp.jpg,left,left,1,unn,791,ApRT
Unn2/abstract04a_ap.jpg,abstract04_hp.jpg,left,left,1,unn,791,ApRS
Unn2/abstract06a_ap.jpg,abstract06a_hp.jpg,right,right,1,unn,791,ApRS
Nam2/inanimate03a_ap.jpg,inanimate03_hp.jpg,left,left,1,nam,791,ApRS
Nam2/inanimate06_ap.jpg,inanimate06_hp.jpg,right,right,1,nam,791,ApRS
Nam2/inanimate03_ap.jpg,inanimate03a_hp.jpg,left,left,1,nam,791,ApRS
Nam2/inanimate06b_ap.jpg,inanimate06b_hp.jpg,right,right,1,nam,791,ApRT
Nam2/inanimate03c_ap.jpg,inanimate03b_hp.jpg,left,left,1,nam,791,ApRT
Nam2/inanimate03b_ap.jpg,inanimate03c_hp.jpg,left,left,1,nam,791,ApRT
Nam2/inanimate09a_ap.jpg,inanimate09a_hp.jpg,right,right,1,nam,791,ApRS
Nam2/inanimate09c_ap.jpg,inanimate09c_hp.jpg,right,right,1,nam,791,ApRT
Unn2/abstract09b_ap.jpg,abstract09b_hp.jpg,right,right,1,unn,791,ApRT
Unn2/abstract01c_ap.jpg,abstract01b_hp.jpg,left,left,1,unn,791,ApRT
Unn2/abstract09c_ap.jpg,abstract09c_hp.jpg,right,right,1,unn,791,ApRT
Unn2/abstract01_ap.jpg,abstract01_hp.jpg,right,right,1,unn,791,ApRS
Unn2/abstract09_ap.jpg,abstract09a_hp.jpg,left,left,1,unn,791,ApRS
Unn2/abstract01b_ap.jpg,abstract01c_hp.jpg,left,left,1,unn,791,ApRT
Unn2/abstract09a_ap.jpg,abstract09_hp.jpg,left,left,1,unn,791,ApRS
Unn2/abstract01a_ap.jpg,abstract01a_hp.jpg,right,right,1,unn,791,ApRS
Nam2/inanimate05a_ap.jpg,inanimate05_hp.jpg,left,left,1,nam,791,ApRS
Nam2/inanimate09_ap.jpg,inanimate09_hp.jpg,right,right,1,nam,791,ApRS
Nam2/inanimate05_ap.jpg,inanimate05a_hp.jpg,left,left,1,nam,791,ApRS
Nam2/inanimate09b_ap.jpg,inanimate09b_hp.jpg,right,right,1,nam,791,ApRT
Nam2/inanimate05c_ap.jpg,inanimate05b_hp.jpg,left,left,1,nam,791,ApRT
Nam2/inanimate05b_ap.jpg,inanimate05c_hp.jpg,left,left,1,nam,791,ApRT
Nam2/inanimate02a_ap.jpg,inanimate02_hp.jpg,left,right,0,nam,791,ApRS
Nam2/inanimate02c_ap.jpg,inanimate02b_hp.jpg,left,left,1,nam,791,ApRT
Unn2/abstract05b_ap.jpg,abstract05c_hp.jpg,left,left,1,unn,791,ApRT
Unn2/abstract02c_ap.jpg,abstract02c_hp.jpg,right,right,1,unn,791,ApRT
Unn2/abstract05c_ap.jpg,abstract05b_hp.jpg,left,left,1,unn,791,ApRT
Unn2/abstract02_ap.jpg,abstract02a_hp.jpg,left,left,1,unn,791,ApRS
Unn2/abstract05_ap.jpg,abstract05_hp.jpg,right,right,1,unn,791,ApRS
Unn2/abstract02b_ap.jpg,abstract02b_hp.jpg,right,right,1,unn,791,ApRT
Unn2/abstract05a_ap.jpg,abstract05a_hp.jpg,right,right,1,unn,791,ApRS
Unn2/abstract02a_ap.jpg,abstract02_hp.jpg,left,left,1,unn,791,ApRS
Nam2/inanimate07a_ap.jpg,inanimate07a_hp.jpg,right,right,1,nam,791,ApRS
Nam2/inanimate02_ap.jpg,inanimate02a_hp.jpg,left,left,1,nam,791,ApRS
Nam2/inanimate07_ap.jpg,inanimate07_hp.jpg,right,right,1,nam,791,ApRS
Nam2/inanimate02b_ap.jpg,inanimate02c_hp.jpg,left,left,1,nam,791,ApRT
Nam2/inanimate07c_ap.jpg,inanimate07c_hp.jpg,right,right,1,nam,791,ApRT
Nam2/inanimate07b_ap.jpg,inanimate07b_hp.jpg,right,right,1,nam,791,ApRT
